# m(Msun)   Mg          Si          Fe
8           0           0           0
11          0.06440     0.02170     0.08000
12          0.05740     0.09090     0.05500
13          0.1148      0.05850     0.1460
15          0.1869      0.1100      0.1297
18          0.3864      0.1370      0.08300
19          0.1757      0.2770      0.1170
20          0.2191      0.2880      0.1060
22          0.2912      0.3560      0.2225
25          0.07000     0.3150      0.1500
30          0.07000     0.3160      0.02500
35          0.07000     0.1120      0.02770
40          0.07000     0.05460     0.02830
50          0.07000     0.05460     0.02830
60          0.07000     0.05460     0.02830
70          0.07000     0.05460     0.02830
80          0.07000     0.05460     0.02830
90          0.07000     0.05460     0.02830
100         0.07000     0.05460     0.02830
